id,created,edited,title,Auth Credentials,Business Value,Capabilities,Category,Dependencies,Factsheet URL,Known Limits and Bugs,Last Updated,Pricing,Source Type,Source URL,Status,Tool ID,Tool Name,Tool Type,Workarounds and Lessons
38135e21-8cf8-81c1-8883-e9f33ae305d4,2026-06-16,2026-06-16,Instagram,OAuth MCP,Publication et analytics Instagram pour Y-OS social.,"Publier contenu, récupérer posts, insights.",CRM / Marketing,,,,2026-06-16,Inclus Y-OS,Officiel,https://developers.facebook.com/docs/instagram-api/,A tester,YOT-60,Instagram,MCP Connector,
38135e21-8cf8-81d6-8b14-cf14b7e991ff,2026-06-16,2026-06-16,Fathom Analytics,OAuth MCP,Analytics web privacy-first pour Y-OS.,"Stats de trafic, événements, rapports.",CRM / Marketing,,https://app.notion.com/p/38135e218cf88149a6d6c8565503cd57,,2026-06-16,Freemium,Officiel,https://usefathom.com/api,Production,YOT-61,Fathom Analytics,MCP Connector,
38135e21-8cf8-815d-8e00-e8033d96daa6,2026-06-16,2026-06-16,Vercel,OAuth MCP,Déploiement d'apps Next.js pour Y-OS. Logs et monitoring.,"Projets, déploiements, logs, domaines, documentation.",Web Dev / Hosting,,,"[Live test 2026-06-18] OK — 19 tools, 1 team found (list_teams)",2026-06-16,Freemium,Officiel,https://vercel.com/docs,Production,YOT-56,Vercel,MCP Connector,
38135e21-8cf8-8166-96e5-dd7c4da61069,2026-06-16,2026-06-16,Dropbox,OAuth MCP,Stockage et partage de fichiers pour Y-OS.,"Recherche, navigation, gestion de fichiers.",Database / Backend,,,,2026-06-16,Freemium,Officiel,https://www.dropbox.com/developers,A tester,YOT-52,Dropbox,MCP Connector,
38135e21-8cf8-8196-85c6-fe4f07d17da6,2026-06-16,2026-06-16,Netlify,OAuth MCP,Déploiement de sites statiques pour Y-OS.,"Déploiements, domaines, fonctions, formulaires.",Web Dev / Hosting,,,[Live test 2026-06-18] FAIL — OAuth timeout. Needs manual reconnect in Manus Apps.,2026-06-16,Freemium,Officiel,https://docs.netlify.com/,A tester,YOT-55,Netlify,MCP Connector,
38135e21-8cf8-81dc-9017-fedab4cc196d,2026-06-16,2026-06-16,Webflow,OAuth MCP,CMS et sites web no-code pour Y-OS. Automatisation contenu.,"Sites, pages, CMS, collections, composants, publication.",Web Dev / Hosting,,,,2026-06-16,Payant,Officiel,https://developers.webflow.com/,A tester,YOT-53,Webflow,MCP Connector,
38135e21-8cf8-81de-925f-c2170254283a,2026-06-16,2026-06-16,Wix,OAuth MCP,Sites web et apps no-code.,"Sites, apps, auth, e-commerce.",Web Dev / Hosting,,,,2026-06-16,Freemium,Officiel,https://dev.wix.com/,A tester,YOT-54,Wix,MCP Connector,
38135e21-8cf8-8105-83da-d779d1db37dd,2026-06-16,2026-06-16,Mermaid Chart,OAuth MCP,Diagrammes techniques pour documentation Y-OS.,"Validation syntaxe, rendu PNG/SVG, gestion projets.",Design / Visual,,,,2026-06-16,Freemium,Officiel,https://mermaid.js.org/,A tester,YOT-49,Mermaid Chart,MCP Connector,
38135e21-8cf8-8168-8a0e-e81a03f1eb32,2026-06-16,2026-06-16,Canva,OAuth MCP,Création de visuels marketing et présentations pour Y-OS.,"Designs, templates, export, gestion de brand.",Design / Visual,,,"[Live test 2026-06-18] OK — 33 tools, 1 folder found (search-folders)",2026-06-16,Freemium,Officiel,https://www.canva.com/developers/,Production,YOT-47,Canva,MCP Connector,Lire skill canva-mcp avant usage.
38135e21-8cf8-818b-a720-d2d6f12fb8ef,2026-06-16,2026-06-16,Airtable,OAuth MCP,Base de données no-code pour Y-OS. Idéal pour données structurées légères.,"CRUD, recherche, formules, vues, automatisations.",Database / Backend,,,"[Live test 2026-06-18] OK — 27 tools, ping responded successfully",2026-06-16,Freemium,Officiel,https://airtable.com/developers/web/api/introduction,Production,YOT-51,Airtable,MCP Connector,
38135e21-8cf8-81f4-a8c5-fa8ca4249d75,2026-06-16,2026-06-16,Cloudinary,OAuth MCP,Gestion et transformation d'assets media pour Y-OS.,"Upload, transformation, optimisation, CDN d'images/vidéos.",Design / Visual,,https://app.notion.com/p/38135e218cf88128959de8fb5eb23ecb,,2026-06-16,Freemium,Officiel,https://cloudinary.com/documentation,Production,YOT-48,Cloudinary,MCP Connector,
38135e21-8cf8-81fa-9eb9-ca92b5951750,2026-06-16,2026-06-16,Supabase,OAuth MCP,Backend-as-a-service pour apps Y-OS. DB PostgreSQL + Auth + Storage.,"DB, auth, storage, realtime, edge functions.",Database / Backend,,,Vérifier avant toute modification/suppression de données.,2026-06-16,Freemium,Officiel,https://supabase.com/docs,A tester,YOT-50,Supabase,MCP Connector,
38135e21-8cf8-817f-baf7-e1d7d9bcba33,2026-06-16,2026-06-16,Google Calendar,OAuth MCP,Agenda Y-OS. Planification automatisée.,"Créer, lire, modifier événements et disponibilités.",Scheduling / Communication,,,,2026-06-16,Inclus Y-OS,Officiel,https://developers.google.com/calendar,Production,YOT-44,Google Calendar,MCP Connector,
38135e21-8cf8-8180-82c6-ffc69e9dea9e,2026-06-16,2026-06-16,Calendly,OAuth MCP,Automatisation de la prise de RDV. Intégration dans workflows Y-OS.,"Events, disponibilités, invitations, webhooks.",Scheduling / Communication,,https://app.notion.com/p/38135e218cf88176af78c17cd497c2c0,,2026-06-16,Freemium,Officiel,https://developer.calendly.com/,Production,YOT-42,Calendly,MCP Connector,
38135e21-8cf8-81af-a231-ef02f0263825,2026-06-16,2026-06-16,Miro,OAuth MCP,Tableaux blancs collaboratifs pour architecture Y-OS et brainstorming.,"Boards, sticky notes, formes, connecteurs, templates.",Design / Visual,,https://app.notion.com/p/38135e218cf8811dbc56df2f185886a4,,2026-06-16,Freemium,Officiel,https://developers.miro.com/,Production,YOT-46,Miro,MCP Connector,
38135e21-8cf8-81c4-89cd-e4f8d4e9daae,2026-06-16,2026-06-16,Twilio,OAuth MCP,"SMS, voix, WhatsApp programmatiques pour Y-OS outbound.","SMS, appels, WhatsApp, vérification.",Scheduling / Communication,,https://app.notion.com/p/38135e218cf88163b4d4c7f6b72fa3fe,,2026-06-16,Payant,Officiel,https://www.twilio.com/docs,Production,YOT-45,Twilio,MCP Connector,
38135e21-8cf8-81f4-86d0-eaef6a3c8c1a,2026-06-16,2026-06-16,Gmail,OAuth MCP,"Email personnel Y-OS. Lecture, envoi, gestion.","Lire, envoyer, chercher, gérer emails.",Scheduling / Communication,,,Multi-comptes: utiliser manus-config pour switcher.,2026-06-16,Inclus Y-OS,Officiel,https://developers.google.com/gmail/api,Production,YOT-43,Gmail,MCP Connector,
38135e21-8cf8-8115-9d1d-f21b6b15d716,2026-06-16,2026-06-16,Todoist,OAuth MCP,Gestion de to-dos personnels.,"Tâches, projets, labels, filtres.",Project Management,,,"[Live test 2026-06-18] OK — 50 tools, user info retrieved",2026-06-16,Freemium,Officiel,https://developer.todoist.com/,Production,YOT-38,Todoist,MCP Connector,
38135e21-8cf8-811a-8411-da959db08e69,2026-06-16,2026-06-16,Otter.ai,OAuth MCP,Transcription automatique de réunions avec résumés AI.,"Transcription, résumés, action items, recherche.",Transcription / Meetings,,https://app.notion.com/p/38135e218cf8817fb22ae6730d032577,,2026-06-16,Freemium,Officiel,https://otter.ai/,Production,YOT-39,Otter.ai,MCP Connector,
38135e21-8cf8-813f-949c-feacd07e1208,2026-06-16,2026-06-16,Plaud,OAuth MCP,Enregistreur physique AI + transcription. Capture réunions en présentiel.,"Transcription, résumés, notes, enregistrements.",Transcription / Meetings,Device Plaud physique,https://app.notion.com/p/38135e218cf881d097aae21783e428fd,Nécessite device physique Plaud.,2026-06-16,Payant,Officiel,https://www.plaud.ai/,Production,YOT-41,Plaud,MCP Connector,
38135e21-8cf8-8143-9826-ef62a8b52bbb,2026-06-16,2026-06-16,Fireflies,OAuth MCP,Transcription et analyse de réunions avec AI.,"Transcription, résumés, recherche, intégrations CRM.",Transcription / Meetings,,https://app.notion.com/p/38135e218cf881a682aac91143af142d,,2026-06-16,Freemium,Officiel,https://fireflies.ai/,Production,YOT-40,Fireflies,MCP Connector,
38135e21-8cf8-819c-9993-ea4d8a3c5409,2026-06-16,2026-06-16,Linear,OAuth MCP,Issue tracking dev pour Y-OS. Référence pour backlog technique.,"Issues, projets, cycles, commentaires, équipes.",Project Management,,,,2026-06-16,Freemium,Officiel,https://linear.app/docs/api,A tester,YOT-37,Linear,MCP Connector,
38135e21-8cf8-8110-89d0-ecbb50892b27,2026-06-16,2026-06-16,ClickUp,OAuth MCP,Gestion de projets tout-en-un. 32 outils MCP.,"Tâches, espaces, listes, docs, recherche universelle.",Project Management,,,,2026-06-16,Freemium,Officiel,https://clickup.com/api/,A tester,YOT-36,ClickUp,MCP Connector,Utiliser clickup_search pour découverte. Name-based lookups supportés.
38135e21-8cf8-8126-b326-e44913349eb9,2026-06-16,2026-06-16,Wrike,OAuth MCP,Gestion de projets enterprise.,"Tâches, projets, rapports, collaboration.",Project Management,,,"[Live test 2026-06-18] OK — 18 tools, contact ID retrieved",2026-06-16,Freemium,Officiel,https://developers.wrike.com/,Production,YOT-33,Wrike,MCP Connector,
38135e21-8cf8-812b-82a3-c24cf66c8abc,2026-06-16,2026-06-16,Monday.com,OAuth MCP,Gestion de projets visuelle. 41 outils MCP.,"Boards, items, colonnes, automatisations, rapports.",Project Management,,,,2026-06-16,Payant,Officiel,https://developer.monday.com/,A tester,YOT-35,Monday.com,MCP Connector,
38135e21-8cf8-8159-9a2f-e7e942eadffa,2026-06-16,2026-06-16,Slack,OAuth MCP,"Communication équipe Y-OS. Notifications, alertes, coordination.","Messages, canaux, recherche, notifications.",Project Management,,,[Live test 2026-06-18] FAIL — OAuth expired. Requires Delete + Re-add in Manus Apps.,2026-06-16,Freemium,Officiel,https://api.slack.com/,A tester,YOT-32,Slack,MCP Connector,"Toujours passer channel_types: public_channel,private_channel dans search."
38135e21-8cf8-81e0-9c97-f13c27ba41c3,2026-06-16,2026-06-16,Asana,OAuth MCP,Gestion de tâches et projets d'équipe.,"Tâches, projets, goals, équipes.",Project Management,,,"[Live test 2026-06-18] OK — 35 tools, user info retrieved (get_me)",2026-06-16,Freemium,Officiel,https://developers.asana.com/,Production,YOT-34,Asana,MCP Connector,
38135e21-8cf8-810d-b4d1-deeb60ca3563,2026-06-16,2026-06-16,Taskade,OAuth MCP,Gestion de projets avec AI intégrée. 57 outils MCP.,"Projets, tâches, agents AI, templates, collaboration.",Project Management,,https://app.notion.com/p/38135e218cf8819c8c15d02a2449f722,,2026-06-16,Freemium,Officiel,https://developers.taskade.com/,Production,YOT-31,Taskade,MCP Connector,
38135e21-8cf8-8115-ad45-fbf1b3218c5a,2026-06-16,2026-06-16,Zapier,OAuth MCP,Automation rapide inter-apps sans code. Idéal pour workflows simples Y-OS.,"Triggers, actions, recherche de données, exécution de Zaps.",Automation / Workflows,,,"[Live test 2026-06-18] OK — 1 tool, config URL retrieved",2026-06-16,Freemium,Officiel,https://zapier.com/,Production,YOT-28,Zapier,MCP Connector,Configurer les Zaps en amont dans Zapier UI.
38135e21-8cf8-8118-b90d-fd90837a534f,2026-06-16,2026-06-16,Playwright MCP,No Auth,Automation browser headless pour tests et scraping de SPAs.,"Navigation, clicks, formulaires, screenshots, SPAs JavaScript.",Web Scraping / Automation,"Node.js, Playwright browser",,Nécessite browser_install avant usage. Pas pour sites anti-bot sans proxy.,2026-06-16,Free,Communauté,https://playwright.dev/,Production,YOT-27,Playwright MCP,MCP Connector,Appeler browser_install en premier. Ne pas installer via pnpm/npx.
38135e21-8cf8-811f-afc8-d31fc5e5d929,2026-06-16,2026-06-16,Make,OAuth MCP,Automation complexe avec scénarios visuels. Plus puissant que Zapier.,"Scénarios On Demand, modules, données, webhooks.",Automation / Workflows,,,"[Live test 2026-06-18] OK — 88 tools, user details retrieved (users_me)",2026-06-16,Freemium,Officiel,https://www.make.com/en/api-documentation,Production,YOT-29,Make,MCP Connector,Configurer scénarios On Demand dans Make UI avant usage MCP.
38135e21-8cf8-81a1-a773-c1d2595f4de8,2026-06-16,2026-06-16,Dify,OAuth MCP,"Workflows LLM personnalisés avec RAG, agents, et intégrations.","Workflows LLM, RAG, agents, chatbots, API endpoints.",Automation / Workflows,,,Nécessite URL MCP serveur configurée par l'utilisateur.,2026-06-16,Freemium,Officiel,https://docs.dify.ai/,A tester,YOT-30,Dify,MCP Connector,
38135e21-8cf8-8139-8f2a-e193d711dac3,2026-06-16,2026-06-16,HARPA Grid,API Key Env Var,Automation navigateur + AI sur pages web. Scraping et actions sur sites.,"Automation browser, scraping, prompts AI sur pages live.",Web Scraping / Automation,HARPA_API_KEY env var,,Nécessite extension HARPA installée.,2026-06-16,Payant,Officiel,https://harpa.ai/,A tester,YOT-26,HARPA Grid,REST API,
38135e21-8cf8-8168-ad43-c00187a2b317,2026-06-16,2026-06-16,Apify,OAuth MCP,Scraping web scalable avec 1000+ acteurs prêts à l'emploi.,"Scraping, crawling, extraction de données, automatisation web.",Web Scraping / Automation,,https://app.notion.com/p/38135e218cf88109ba01fac899621b35,Coûts variables selon acteur et volume.,2026-06-16,Freemium,Officiel,https://docs.apify.com/,Production,YOT-23,Apify,MCP Connector,
38135e21-8cf8-8178-a6c6-e4860017a071,2026-06-16,2026-06-16,Anchor Browser,API Key Env Var,Sessions browser cloud anti-bot pour scraping de sites protégés.,"Sessions browser managées, anti-bot, fetch de pages protégées.",Web Scraping / Automation,ANCHOR_API_KEY env var,,Coûteux. Toujours inclure proxy + extra_stealth dans config session.,2026-06-16,Payant,Officiel,https://docs.anchorbrowser.io/,Production,YOT-25,Anchor Browser,REST API,"Config obligatoire: {browser:{extra_stealth:{active:true}}, session:{proxy:{active:true}}}"
38135e21-8cf8-81b3-8744-fe6a87fe0703,2026-06-16,2026-06-16,Firecrawl,OAuth MCP,Extraction de contenu web propre en Markdown. Idéal pour alimenter LLM.,"Scraping, crawling, extraction Markdown, recherche web.",Web Scraping / Automation,,,Limites de pages par crawl selon plan.,2026-06-16,Freemium,Officiel,https://docs.firecrawl.dev/,Production,YOT-24,Firecrawl,MCP Connector,
38135e21-8cf8-81de-81f7-ef731a9df544,2026-06-16,2026-06-16,Ahrefs,OAuth MCP,Référence SEO pour backlinks et analyse de domaines.,"Backlinks, mots-clés, audit de site, rank tracking.",SEO / Research,,https://app.notion.com/p/38135e218cf88114b5abd77f1ae813ce,Très coûteux. API limitée sur plans bas.,2026-06-16,Payant,Officiel,https://ahrefs.com/api/,Production,YOT-22,Ahrefs,MCP Connector,
38135e21-8cf8-8174-a875-e0f62d92ea14,2026-06-16,2026-06-16,Mem0,API Key Env Var,Mémoire cross-session pour Y-OS. Permet à Manus de se souvenir entre sessions.,"Stockage/récupération de mémoires, recherche sémantique, tags.",Memory / Knowledge,MEM0_API_KEY env var,https://app.notion.com/p/38135e218cf88166a16dd49fee15e1a6,Pas de structure hiérarchique. Recherche sémantique parfois imprécise.,2026-06-16,Freemium,Officiel,https://docs.mem0.ai/,Production,YOT-17,Mem0,REST API,Utiliser MEM0_API_KEY. Toujours tagger les mémoires (user_id + metadata).
38135e21-8cf8-8194-9e4a-ce4765de4374,2026-06-16,2026-06-16,Mem MCP,OAuth MCP,Interface MCP pour  Mem.ai . Stockage de notes et contexte.,"Création, recherche, organisation de notes.",Memory / Knowledge,,https://app.notion.com/p/38135e218cf881c4a460f476264e112c,Redondant avec Notion pour usage Y-OS.,2026-06-16,Freemium,Officiel,https://mem.ai/,Experimental,YOT-18,Mem MCP,MCP Connector,
38135e21-8cf8-81b8-9057-dcd96c10d3c1,2026-06-16,2026-06-16,Notion MCP,OAuth MCP,"Store principal Y-OS. Toute la mémoire structurée, projets, sessions, fiches outils.","Créer/modifier pages et databases, recherche, gestion de contenu.",Memory / Knowledge,,,Pas de tables HTML standard. Syntaxe Notion-flavored Markdown spécifique.,2026-06-16,Freemium,Officiel,https://developers.notion.com/,Production,YOT-19,Notion MCP,MCP Connector,Utiliser notion-create-database avec SQL DDL. Tables: <table header-row> uniquement.
38135e21-8cf8-81e2-8425-e5a610deb527,2026-06-16,2026-06-16,Semrush,OAuth MCP,"Analyse SEO, mots-clés, backlinks, veille concurrentielle pour Y-OS.","Audit SEO, recherche mots-clés, analyse concurrents, backlinks.",SEO / Research,,https://app.notion.com/p/38135e218cf881b38cb5fd75fcbc5142,Coûteux. Limites d'API selon plan.,2026-06-16,Payant,Officiel,https://developer.semrush.com/,Production,YOT-21,Semrush,MCP Connector,
38135e21-8cf8-81e4-8d48-c1884ac73ba8,2026-06-16,2026-06-16,Context7,OAuth MCP,Documentation technique en temps réel pour librairies et frameworks.,"Accès à docs officielles, exemples de code, versions.",Memory / Knowledge,,,Limité aux librairies indexées.,2026-06-16,Freemium,Officiel,https://context7.com/,A tester,YOT-20,Context7,MCP Connector,
38135e21-8cf8-8146-a162-e4dae3eea614,2026-06-16,2026-06-16,MiniMax,OAuth MCP,"Suite multimodale: voix multilingues, image, vidéo, musique IA.","TTS multilingue, image, vidéo, musique, voix expressives.",Image / Video / Voice AI,,,Qualité variable selon langue.,2026-06-16,Freemium,Officiel,https://www.minimaxi.com/,A tester,YOT-14,MiniMax,MCP Connector,
38135e21-8cf8-8178-87ca-f0d87c19b9d3,2026-06-16,2026-06-16,HeyGen,OAuth MCP,Création de vidéos avec avatars IA. Idéal pour contenu marketing et formation.,"Avatars vidéo, voix synthétiques, templates vidéo, traduction.",Image / Video / Voice AI,,,[Live test 2026-06-18] FAIL — OAuth timeout. Needs manual reconnect in Manus Apps.,2026-06-16,Payant,Officiel,https://docs.heygen.com/,A tester,YOT-12,HeyGen,MCP Connector,
38135e21-8cf8-819c-a4b5-fc3a8d2702e4,2026-06-16,2026-06-16,Higgsfield,OAuth MCP,"Vidéo et images cinématiques IA. Personnages cohérents, publicités produits.","Vidéo cinématique, images, personnages, presets, ads produits.",Image / Video / Voice AI,,,Accès limité en beta.,2026-06-16,Payant,Officiel,https://higgsfield.ai/,A tester,YOT-13,Higgsfield,MCP Connector,
38135e21-8cf8-81b2-ad83-d0645580f500,2026-06-16,2026-06-16,ElevenLabs,OAuth MCP,"TTS haute qualité, clonage vocal, dubbing. Référence pour voix IA naturelles.","TTS, STT, clonage vocal, sound effects, Conversational AI, dubbing.",Image / Video / Voice AI,ELEVENLABS_API_KEY env var,,Coûteux sur gros volumes. Limite de caractères par requête.,2026-06-16,Freemium,Officiel,https://elevenlabs.io/docs/api-reference/introduction,Production,YOT-15,ElevenLabs,MCP Connector,Utiliser ELEVENLABS_API_KEY. Batches de 3-5 paragraphes pour narration.
38135e21-8cf8-81d3-8e52-e1c6ef6cc14c,2026-06-16,2026-06-16,Hume AI,OAuth MCP,TTS expressif avec émotions. Conversations vocales interactives pour Y-OS Voice.,"TTS expressif, Conversational AI, analyse émotionnelle, voix naturelles.",Image / Video / Voice AI,,,Serveur: toujours quiet=true pour éviter blocage playback.,2026-06-16,Freemium,Officiel,https://dev.hume.ai/,Production,YOT-16,Hume AI,MCP Connector,Utiliser continuationOf pour narrations multi-parties.
38135e21-8cf8-8137-a6b3-f668f6bf3d8e,2026-06-16,2026-06-16,OpenRouter,API Key Env Var,Accès unifié à 200+ modèles LLM avec fallback automatique. Optimisation coût/qualité.,"Routing multi-modèles, fallback, streaming, OpenAI-compatible.",LLM / AI,OPENROUTER_API_KEY env var,,Latence supplémentaire vs appel direct.,2026-06-16,Pay-as-you-go,Officiel,https://openrouter.ai/docs/api-reference,Production,YOT-8,OpenRouter,REST API,Utiliser pour routing intelligent selon coût/qualité.
38135e21-8cf8-8189-8211-e89731b61ab0,2026-06-16,2026-06-16,Grok xAI,API Key Env Var,LLM avec accès temps réel à X/Twitter. Idéal pour veille et tendances.,"Chat, raisonnement, accès web temps réel, image understanding.",LLM / AI,XAI_API_KEY env var,,Moins performant que Claude/GPT sur tâches longues.,2026-06-16,Pay-as-you-go,Officiel,https://docs.x.ai,Production,YOT-7,Grok xAI,REST API,Préférer pour X/web research.
38135e21-8cf8-81cd-bcd3-dc3163393999,2026-06-16,2026-06-16,Flux MCP,API Key Env Var,"Génération et édition d'images IA état de l'art (FLUX). Inpainting, style transfer.","Génération texte→image, édition, inpainting, variations, upscaling.",Image / Video / Voice AI,BFL_API_KEY env var,https://app.notion.com/p/38135e218cf881809409f18eb13d68d1,Coûteux sur gros volumes. Pas de vidéo.,2026-06-16,Pay-as-you-go,Officiel,https://docs.bfl.ai,Production,YOT-10,Flux MCP,MCP Connector,Utiliser BFL_API_KEY. Préférer flux-pro pour qualité max.
38135e21-8cf8-81e2-a320-e83fdbf06807,2026-06-16,2026-06-16,Perplexity Sonar,API Key Env Var,Recherche web temps réel avec citations sourcées. Remplace Google pour Y-OS.,"Recherche web, synthèse avec sources, questions factuelles temps réel.",LLM / AI,SONAR_API_KEY env var,,Pas de génération de contenu long. Pas de function calling.,2026-06-16,Pay-as-you-go,Officiel,https://docs.perplexity.ai/,Production,YOT-9,Perplexity Sonar,REST API,Utiliser sonar-pro pour recherches critiques.
38135e21-8cf8-81f0-aa76-e7c1e21ab389,2026-06-16,2026-06-16,Replicate,API Key Env Var,"Accès à 1000+ modèles IA (image, vidéo, audio) via API unifiée.","Image, vidéo, audio, modèles spécialisés, fine-tuning.",Image / Video / Voice AI,REPLICATE_API_TOKEN env var,,Latence variable selon modèle. Coûts imprévisibles.,2026-06-16,Pay-as-you-go,Officiel,https://replicate.com/docs,A tester,YOT-11,Replicate,REST API,Utiliser REPLICATE_API_TOKEN. Vérifier pricing avant usage.
38135e21-8cf8-8114-b39b-eabaea040cc5,2026-06-16,2026-06-16,MailerLite,OAuth MCP,Alternative à Klaviyo pour email marketing simple et abordable.,"Campagnes, automatisations, formulaires, landing pages, analytics.",Email Marketing,,https://app.notion.com/p/38135e218cf881c58372f91baae502f5,Moins puissant que Klaviyo pour la segmentation avancée.,2026-06-16,Freemium,Officiel,https://developers.mailerlite.com/,Production,YOT-3,MailerLite,MCP Connector,
